Series appearances	Team	League	Wins	Losses	Win % 	Most recent win	Most recent appearance	Founded	id
40	New York Yankees	AL	27	13	.675	2009	2009	1901	nyy
20	New York/San Francisco Giants	NL	7	12	.368	2012	2014	1883	sfg
19	St Louis Cardinals	NL	11	8	.579	2011	2013	1882	slc
18	Brooklyn/Los Angeles Dodgers	NL	6	12	.333	1988	1988	1883	lad
14	Philadelphia/Kansas City/Oakland Athletics	AL	9	5	.643	1989	1990	1901	oka
12	Boston Red Sox	AL	8	4	.667	2013	2013	1901	brs
11	Detroit Tigers	AL	4	7	.364	1984	2012	1901	det
10	Chicago Cubs	NL	2	8	.200	1908	1945	1871	chc
9	Boston/Milwaukee/Atlanta Braves	NL	3	6	.333	1995	1999	1871	atb
9	Cincinnati Reds	NL	5	4	.556	1990	1990	1869	cir
7	Philadelphia Phillies	NL	2	5	.286	2008	2009	1883	php
7	Pittsburgh Pirates	NL	5	2	.714	1979	1979	1882	ppi
7	St Louis Browns/Baltimore Orioles	AL	3	4	.429	1983	1983	1894	bor
6	Washington Senators/Minnesota Twins	AL	3	3	.500	1991	1991	1901	mtw
5	Cleveland Indians	AL	2	3	.400	1948	1997	1901	cli
5	Chicago White Sox	AL	3	2	.600	2005	2005	1901	chs
4	New York Mets	NL	2	2	.500	1986	2000	1962	nym
3	Kansas City Royals	AL	1	1	.500	1985	2014	1969	kcr
2	Florida/Miami Marlins	NL	2	0	1.000	2003	2003	1993	flm
2	San Diego Padres	NL	0	2	.000	—	1998	1969	sdp
2	Washington Senators/Texas Rangers	AL	0	2	.000	—	2011	1961 txr
2	Toronto Blue Jays	AL	2	0	1.000	1993	1993	1977	trb
1	Arizona Diamondbacks	NL	1	0	1.000	2001	2001	1998	adb
1	Colorado Rockies	NL	0	1	.000	—	2007	1993	cor
1	Houston Astros	NL/AL[L2]	0	1	.000	—	2005	1962	has
1	Los Angeles Angels of Anaheim	AL	1	0	1.000	2002	2002	1961	laa
1	Seattle Pilots/Milwaukee Brewers	AL/NL[L1]	0	1	.000	—	1982	1969	mib
1	Tampa Bay Rays	AL	0	1	.000	—	2008	1998	tbr
0	Montreal Expos/Washington Nationals	NL	0	0	—	—	—	1969	wna
0	Seattle Mariners	AL	0	0	—	—	—	1977	sem
