
Year	Winning team	Manager	League	Games	Losing team	Manager	League	Ref.
1903	Boston Americans	Jimmy Collins	AL	5–3[V]	Pittsburgh Pirates	Fred Clarke	NL	[9]
1904	No World Series	—	—	—	—	—	—	[1]
1905	New York Giants	John McGraw	NL	4–1	Philadelphia Athletics	Connie Mack	AL	[10]
1906	Chicago White Sox	Fielder Jones	AL	4–2	Chicago Cubs	Frank Chance	NL	[11]
1907	Chicago Cubs	Frank Chance	NL	4–0–(1)[T]	Detroit Tigers	Hugh Jennings	AL	[12]
1908	Chicago Cubs	Frank Chance	NL	4–1	Detroit Tigers	Hugh Jennings	AL	[13]
1909	Pittsburgh Pirates	Fred Clarke	NL	4–3	Detroit Tigers	Hugh Jennings	AL	[14]
1910	Philadelphia Athletics	Connie Mack	AL	4–1	Chicago Cubs	Frank Chance	NL	[15]
1911	Philadelphia Athletics	Connie Mack	AL	4–2	New York Giants	John McGraw	NL	[16]
1912	Boston Red Sox	Jake Stahl	AL	4–3–(1)[T]	New York Giants	John McGraw	NL	[17]
1913	Philadelphia Athletics	Connie Mack	AL	4–1	New York Giants	John McGraw	NL	[18]
1914	Boston Braves	George Stallings	NL	4–0	Philadelphia Athletics	Connie Mack	AL	[19]
1915	Boston Red Sox	Bill Carrigan	AL	4–1	Philadelphia Phillies	Pat Moran	NL	[20]
1916	Boston Red Sox	Bill Carrigan	AL	4–1	Brooklyn Robins	Wilbert Robinson	NL	[21]
1917	Chicago White Sox	Pants Rowland	AL	4–2	New York Giants	John McGraw	NL	[22]
1918	Boston Red Sox	Ed Barrow	AL	4–2	Chicago Cubs	Fred Mitchell	NL	[23]
1919	Cincinnati Reds	Pat Moran	NL	5–3[V]	Chicago White Sox	Kid Gleason	AL	[24]
1920	Cleveland Indians	Tris Speaker	AL	5–2[V]	Brooklyn Robins	Wilbert Robinson	NL	[25]
1921	New York Giants	John McGraw	NL	5–3[V]	New York Yankees	Miller Huggins	AL	[26]
1922	New York Giants	John McGraw	NL	4–0–(1)[T]	New York Yankees	Miller Huggins	AL	[27]
1923	New York Yankees	Miller Huggins	AL	4–2	New York Giants	John McGraw	NL	[28]
